"","Denominación_social","Domicilio_social","Latitud","Longitud","Fecha_constitución","CNAE","Objeto_social","Tamaño_empresa_por_facturación","Índice_crec_interanual_ventas","Tamaño_empresa_por_empleados","Empleo_fijo","Empleo_temporal","Teléfono","Estado","URL","Metatag_descripción","RRSS","Cotización_en_bolsa","Actividad_internacional","Capital_social","Empleados","Empleados_año","Resultado","Municipio"
"690","Lope Iñaki Uribe Azpitarte Karmel Molina","CALLE GOIENKALEA, 13","43.16643264","-2.63127048","01/01/2006","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"691","Maria Rodriguez Cid Maria Esther Lizundi","CALLE URKO KALEA, 1 - BJ","43.170109","-2.624483","01/01/2006","9529 - Reparación de otros efectos personales y artículos de uso doméstico","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"692","Miguel Angel Lorenzo Fernandez Monica Lo","CALLE ARTEKALEA, 17","43.167331","-2.631603","01/01/2006","4772 - Comercio al por menor de calzado y artículos de cuero en establecimientos especializados","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"693","Jose Ignacio Abad Valdivielso-sandra Aba","PLAZA DURANGOKO PLATEROAK, 3 - 3 B","43.170333","-2.63217","01/01/2006","7739 - Alquiler de otra maquinaria, equipos y bienes tangibles n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"694","Javier Azcarate Azcarate Antonio Trinida","CALLE ANDRA MARI, 12","43.167652","-2.631492","01/01/2006","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"695","Julian Gorospe Artabe-ruben Gorospe Arta","CALLE ZUMALAKARREGI, 6 - 5 B","43.16863299","-2.6322988","01/01/2002","8621 - Actividades de medicina general","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"696","Alberto Cimarro Larrabe-sara Cimarro Lar","CALLE ASKATASUN ETORBIDEA (BA JO), 21","43.16908415","-2.63752914","01/01/2002","7500 - Actividades veterinarias","-","-","-","-","-","-","946201742","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"697","Fernando Ochoa De Javier Barrutia Alonso","CALLE TRONPERRI, 1","43.170654","-2.634219","01/01/2002","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"698","Rosa Maria Al Paulina Maguregui Martinez","CALLE KANPANTORROSTETA, 5 - BJ","43.16815054","-2.63070451","01/01/2005","8559 - Otra educación n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"699","Antxon Mirena Imaz Undabarrena-irene Bar","CALLE ASTEIZATORRE, 1 - BJ","43.16752585","-2.62292768","01/01/2002","1723 - Fabricación de artículos de papelería","-","-","Administrador:  MIRENA I...
Administrador:  IRENE B...","Menos de 5","-","-","-","Activa","-","-","-","NO","No constan","-","2 (año 2008)","2008","-","Durango"
"700","Amaya Arruabarrena Oregui-aintzane Uria","CALLE FRAI JUAN DE ZUMARRAGA, 17","43.17208135","-2.63602797","01/01/2005","8559 - Otra educación n.c.o.p.","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"701","Maria Cristina Zarrabeitia Peñalba-maria","CALLE SASIKOA, 26 - 4 CD","43.17241719","-2.64000308","01/01/2002","7111 - Servicios técnicos de arquitectura","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
"702","Anouchka Maria De Rodger Raymond Dearman","CALLE KURUTZIAGA, 22 - B","43.16802873","-2.62885136","01/01/2002","5630 - Establecimientos de bebidas","-","-","-","-","-","-","-","Activa","-","-","-","NO","No constan","-","-","-","-","Durango"
